Name,Ticker,Sub-Sector,Market Cap,Debt to Equity,Long Term Debt to Equity,Cash Conversion Cycle,Quick Ratio,Current Ratio,Interest Coverage Ratio,Working Capital Turnover Ratio,Net Income / Liabilities,Earning Power
Integra Essentia Ltd,ESSENTIA,Agro Products,419.6023838,37.71208908,0,,1.269262247,1.269262247,35.125,-97.61386139,18.05425631,12.22042744
Cineline India Ltd,CINELINE,Real Estate,417.0567682,255.0989565,230.9751709,-60.71111833,0.530489032,0.551620044,0.865458348,-13.77942213,,4.282141933
Bannari Amman Spinning Mills Ltd,BASML,Textiles,415.1825,112.3543227,48.66176275,,0.460927397,0.851616479,0.556822811,28.01589872,,2.225967449
Supershakti Metaliks Ltd,SUPERSHAKT,Iron & Steel,414.910008,4.400236028,0.606929107,,0.844962931,1.611426079,7.462093863,19.93632807,19.63657679,6.765957447
A B Infrabuild Ltd,ABINFRA,Construction & Engineering,414.1240281,50.41079093,21.41017781,,1.136040257,2.012493493,3.994241843,4.118710253,15.22376132,13.28608823
Mangalam Global Enterprise Ltd,MGEL,Commodity Chemicals,411.9445,145.0648415,26.65706052,,1.024835192,1.455159832,1.870719508,23.0446129,7.186054785,11.57894737
Nath Bio-Genes (I) Ltd,NATHBIOGEN,Agro Products,411.72166,18.09283337,0.798478464,825.5088122,1.300666794,2.178205372,5.518478261,1.099195273,14.65616099,5.76774516
Avonmore Capital & Management Services Ltd,AVONMORE,Investment Banking & Brokerage,411.2502042,5.733502538,3.746192893,,1.735955568,1.843394337,,1.286026201,9.951845907,4.217123024
Vardhman Polytex Ltd,VARDMNPOLY,Textiles,411.1441996,,,,0.261986973,0.327944754,-6.967261905,-1.060362093,,
Markolines Pavement Technologies Ltd,MARKOLINES,Highways & Railtracks,410.81168,35.58611046,17.350268,,1.562171629,1.837011092,6.001968504,4.760956445,16.94069289,16.21808511
Milkfood Ltd,MLKFOOD,FMCG - Foods,410.5285512,66.21505745,36.88904133,,0.9445528,1.245843782,1.651884701,15.72933921,3.629135022,6.022310843
Bharat Road Network Ltd,BRNL,Roads,410.1797,463.9904972,331.624917,,0.485101657,0.485101657,0.35685441,-1.044702363,,2.456168582
ASI Industries Ltd,ASIIL,Mining - Diversified,410.1110652,8.998634219,1.0026074,292.2520782,3.586829048,3.728687415,16.62331839,1.546343045,52.77427491,10.02596419
HPC Biosciences Ltd,HPCBL,Agro Products,409.8528,0,0,,91.17857143,93.14285714,,0.030460922,6.896551724,0.090525045
Global Education Ltd,GLOBAL,Education Services,409.6756326,0,0,108.6291357,6.933832709,7.048689139,4484,2.012888552,388.8505747,45.97559725
Panchmahal Steel Ltd,PANCHMAHQ,Iron & Steel,409.2301571,25.43183122,0,140.237618,0.670510233,2.390025944,1.496221662,4.822130415,3.873466753,5.069557054
Evexia Lifecare Ltd,EVEXIA,Packaged Foods & Meats,408.9755645,780.4783523,770.6012623,341.9537239,1.815196394,1.858338699,4.918367347,1.469529442,0.180927352,0.284359071
DJ Mediaprint & Logistics Ltd,DJML,Logistics,408.7726157,53.05514158,23.5171386,162.5274413,1.635338346,1.976906552,3.586065574,3.080441216,19.02604757,14.57361759
Jay Shree Tea and Industries Ltd,JAYSREETEA,Tea & Coffee,408.4143128,111.2677994,11.84219578,,0.184196348,0.605941335,0.985900505,-4.026354794,1.725808807,3.549774427
Kinetic Engineering Ltd,KINETICENG,Auto Parts,407.32837,58.27237354,45.27626459,,0.579352442,1.256369427,1.913761468,33.69128997,4.459169054,5.928494288
Swadeshi Polytex Ltd,SWADPOL,Real Estate Development,407.16,0,0,119.9634944,76.07575758,76.56060606,,1.825592417,2373.198847,88.14828016
Amal Ltd,AMAL,Commodity Chemicals,406.6079532,33.92473888,26.47016741,34.33391174,0.793183131,0.994222992,1.742627346,-42.59753086,4.62633452,6.10787446
Sheetal Cool Products Ltd,SCPL,FMCG - Foods,406.56,72.96778137,13.62961669,219.5522924,0.592937972,1.952849958,4.163860831,4.26029121,17.31969054,15.80472012
DCM Nouvelle Ltd,DCMNVL,Textiles,405.400542,114.7357066,25.6341501,,0.435988064,1.201726685,0.879618594,11.42546486,,2.901513662
Baroda Rayon Corporation Ltd,BARODARY,Textiles,404.6145999,63.6812773,54.86669679,,0.381478002,4.950446219,13.72490706,0.216213421,11.04621144,5.752302011
Shri Keshav Cements and Infra Ltd,SKCIL,Cement,404.4570074,188.2416081,161.2314598,,0.65973535,1.303087587,1.597640118,14.67463026,3.605522682,7.607168942
Ponni Sugars (Erode) Ltd,PONNIERODE,Sugar,403.9966697,0,0,92.7059777,2.268064608,4.89317087,400.1538462,3.7561393,88.7163953,8.602043854
Cian Agro Industries & Infrastructure Ltd,CIANAGRO,Agro Products,403.9763943,161.8749247,40.18556453,,0.57734712,1.157638841,1.308578008,4.176531196,1.219148089,4.687467778
Brooks Laboratories Ltd,BROOKS,Labs & Life Sciences Services,403.0449087,8.598871779,0.548864156,9.074304443,0.930555556,1.34765625,-22.27380952,62.12355212,,
Ruchira Papers Ltd,RUCHIRA,Paper Products,403.0266774,10.69566477,1.211740852,,1.577048768,2.829688286,19.66384181,5.063193623,39.09415971,12.88763816
Vishal Fabrics Ltd,VISHAL,Textiles,402.7291861,92.42027086,31.64652201,,1.566713681,1.831791255,1.804054054,5.27764646,4.146307961,7.532306891
Thaai Casting Limited,TCL,Auto Parts,401.645504,63.02602436,28.87596899,,1.038149151,1.718926901,6.123674912,4.750417641,16.96641732,12.83038425
Sicagen India Ltd,SICAGEN,Building Products - Pipes,401.3755908,26.25992387,2.712343665,135.8228976,1.571389732,2.165345054,2.299530516,3.240335117,4.391510026,3.505482236
Hindusthan Urban Infrastructure Ltd,HUIL,Heavy Electrical Equipments,400.4005875,68.55957594,25.28232312,,0.468692842,0.928606268,-0.314183552,20.22891795,,
Available Finance Ltd,AVAILFC,Specialized Finance,400.3421695,0,0,,0.6,0.6,,-110,62542.10526,0.027729252
Innovators Facade Systems Ltd,INNOVATORS,Construction & Engineering,399.9975296,29.64489319,6.765574559,,0.959163256,1.565165985,3.408163265,3.51373494,12.15623754,10.47446871
Shiv Aum Steels Ltd,SHIVAUM,Commodities Trading,399.85176,65.10686376,8.473778364,,1.255961142,2.552546364,3.034782609,5.546442097,13.55449009,11.41891155
Universus Photo Imagings Ltd,UNIVPHOTO,Health Care Equipment & Supplies,399.0584488,0,0,,248.3476395,253.5579399,,0.121930714,,
Global Vectra Helicorp Ltd,GLOBALVECT,Airlines,397.81,2371.664374,1566.895919,,0.459719964,0.51632224,1.069303986,-2.305785669,0.132453255,3.874799254
Lehar Footwears Ltd,LEHAR,Footwear,397.7729775,65.98240469,10.85043988,,0.758775053,1.403398108,2.505922166,5.470136986,5.565453466,6.726620339
Bhatia Communications & Retail (India) Ltd,BHATIA,Retail - Speciality,396.231232,32.00181571,0.832198517,,0.898274059,2.252353556,10.55900621,9.884592504,21.12108445,14.08684123
Shish Industries Ltd,SHISHIND,Plastic Products,395.8849993,26.6934558,4.219288175,155.8793208,1.937603534,2.500828272,12.71578947,4.629649031,40.85801839,22.19772143
Kings Infra Ventures Ltd,KINGSINFR,Real Estate,395.3954358,81.87639198,30.0389755,,0.833473862,1.741146712,3.888579387,,21.60633484,19.58473625
Baheti Recycling Industries Ltd,BAHETI,Metals - Aluminium,395.040993,206.4478652,32.15219286,,0.787073653,1.455635195,1.91798419,16.26704545,7.790383576,15.28587179
Vadilal Enterprises Ltd,VADILENT,Packaged Foods & Meats,394.7137434,156.9767442,102.1040975,,0.355190694,0.602861702,3.871428571,-15.19908148,3.53029662,5.871138264
Star Housing Finance Ltd,STARHFL,Commercial & Residential Mortgage Finance,393.8721726,271.4176765,271.4176765,6.977305852,2.606234619,2.606234619,,1.405793796,2.382551237,2.337344483
Shraddha Prime Projects Ltd,SHRADDHA,,393.707745,181.8485328,92.60235459,,0.38977513,2.039208149,267,1.575329742,4.165337756,4.998128042
Medico Remedies Ltd,MEDICO,Pharmaceuticals,393.593112,15.37139584,1.661256445,64.63302817,1.341275403,1.722961925,14.82926829,5.475702849,18.91830215,12.64164674
Aelea Commodities Ltd,ACLD,,393.423372,88.76551274,30.00217723,,0.912583639,1.506367365,4.23059867,8.068676717,20.1980198,17.91044776
